# [1]Indel length	[2]Count
-10	16
-9	10
-8	56
-7	8
-6	77
-5	51
-4	228
-3	95
-2	382
-1	1106
1	1228
2	313
3	102
4	209
5	54
6	62
7	5
8	35
9	6
10	8
